__run_id,__done,algorithm,language,runtime,id,energy_usage,execution_time,memory_usage,cpu_usage,storage
run_176,DONE,nbody,c,wasmtime,6,365.684,191780,1.295,97.22,17334
run_172,DONE,nbody,c,wasmtime,2,364.991,191450,0.9,99.728,17334
run_85,DONE,spectral-norm,go,wasmer,5,196.782,105950,6.7,122.857,250426
run_103,DONE,spectral-norm,c,wasmer,3,458.895,240030,1.099,99.979,20542
run_97,DONE,spectral-norm,go,wasmtime,7,213.085,114080,6.121,120.028,250426
run_110,DONE,spectral-norm,c,wasmtime,0,399.516,209030,1.5,98.901,20542
run_112,DONE,spectral-norm,c,wasmtime,2,399.719,208680,1.0,99.372,20542
run_73,DONE,spectral-norm,rust,wasmtime,3,709.261,371230,1.797,100.961,2061071
run_48,DONE,binarytrees,c,wasmer,8,923.517,482570,1.598,99.928,30077
run_76,DONE,spectral-norm,rust,wasmtime,6,706.726,369370,0.9,98.768,2061071
run_142,DONE,nbody,go,wasmer,2,195.4,106010,6.435,129.01,245403
run_133,DONE,nbody,rust,wasmtime,3,208.131,110160,1.889,103.336,2059234
run_136,DONE,nbody,rust,wasmtime,6,207.341,108830,0.8,99.094,2059234
run_47,DONE,binarytrees,c,wasmer,7,923.683,482410,1.0,99.499,30077
run_86,DONE,spectral-norm,go,wasmer,6,184.377,96850,1.083,100.241,250426
run_116,DONE,spectral-norm,c,wasmtime,6,399.414,208660,1.0,98.611,20542
run_139,DONE,nbody,rust,wasmtime,9,207.559,108870,0.802,98.947,2059234
run_0,DONE,binarytrees,rust,wasmer,0,194.462,102690,1.983,100.489,2032739
run_165,DONE,nbody,c,wasmer,5,397.572,207940,0.999,98.982,17334
run_58,DONE,binarytrees,c,wasmtime,8,937.022,489830,1.899,99.943,30077
run_162,DONE,nbody,c,wasmer,2,397.508,207740,0.4,100.032,17334
run_44,DONE,binarytrees,c,wasmer,4,923.789,482140,1.0,99.538,30077
run_167,DONE,nbody,c,wasmer,7,397.824,207680,0.5,100.119,17334
run_83,DONE,spectral-norm,go,wasmer,3,184.331,96840,1.085,98.551,250426
run_20,DONE,binarytrees,go,wasmer,0,3034.628,1584460,2.598,99.826,209167
run_27,DONE,binarytrees,go,wasmer,7,3036.03,1584450,2.599,99.968,209167
run_16,DONE,binarytrees,rust,wasmtime,6,201.671,105630,1.296,99.088,2032739
run_171,DONE,nbody,c,wasmtime,1,365.033,191440,1.0,99.117,17334
run_170,DONE,nbody,c,wasmtime,0,366.998,191480,0.9,98.725,17334
run_95,DONE,spectral-norm,go,wasmtime,5,201.679,105770,1.183,97.034,250426
run_19,DONE,binarytrees,rust,wasmtime,9,201.521,105550,1.196,100.152,2032739
run_50,DONE,binarytrees,c,wasmtime,0,937.173,489800,1.399,99.959,30077
